ประเภษ,THP,USP,EUHM,รายการโรค,Test 70,Test 40,Test 80,ซื่อวัตถุ,ชื่อวิทยาศาสตร์ ,ซื่อวงศ์/อื่น,ลักษณะและชนิด,ส่วนที่ใช้,เย็น,ร้อน,สขุม,ฝาด,หวาน,ขม,เผ็ด,มัน,หอม,เค็ม,เปรี้ยว,เมา,เบื่อ,จืด,อื่น,สรรพคุณ,สารสาคัญและฤทธิ์ทางเภสัชวิทยา,วิธีใช้,ข้อห้าม หรือ ควรระวัง,ฮื่นๆ,MEdchinA
ต้น,,,,,,,,เข้มขาว(เข็มใหญ่),Lxora ebarbata Craib,Rubiaceae,ไม้พุ่มขนาดเล็กถึงกลาง,ราก,,,,,●,,,,,,,,,,,แก้โรคตา เจริญอาหาร,,,,,
ต้น,,,,,,,,เข้มป่า,Lxora Cibdela Craib,Rubiaceae,ไม้พุ่ม สูงถึง5เมตร,ดอก,●,,,●,,,,,,,,,,,,แก้โรกตา ตาแฉะ ตาแดง,,,,,
ต้น,,,,,,,,เข้มป่า,Lxora Cibdela Craib,Rubiaceae,ไม้พุ่ม สูงถึง5เมตร,ใบ,,,,,,,,,,,,●,●,,,ฆ่าพยาธิทั้งปวง,,,,,
ต้น,,,,,,,,เข้มป่า,Lxora Cibdela Craib,Rubiaceae,ไม้พุ่ม สูงถึง5เมตร,ลูก,,,,,,,,,,,,●,●,,,แก้ริดสีดวงอกในจมูก,,,,,
ต้น,,,,,,,,เข้มป่า,Lxora Cibdela Craib,Rubiaceae,ไม้พุ่ม สูงถึง5เมตร,ราก,,,,●,,,,,,,,,,●,,ขับเสมหะในท้อง ในทรวงอก และแกฝีในท้อง,,,,,
ต้น,,,,,,,,มะกรูด,,,,ทั้งลูก,,,,,,●,,,,,●,,,,ปร่า,ใช้ทำยาดอง ฟอกโสหิตระดูถอนพษผดสำแดง,,,,,
ต้น,,,,,,,,มะนาว,Citrus aurantifolia(Christm&Panz) Swingle,Rutacea,ไม้ยืนต้นขนาดย่อม,น้ำ-เนื้อในผล,,,,,,,,,,,●,,,,,แก้เลือดออกตามไรฟิน ฟอกใสหิต กัดเถาคานในท้อง ล้างเสมหะในคอ ผสมเกลือ และนาตาลทรายแดง จิบแก้ไอ แก้เสมหะในคอ,citric acid ชี่งมี'รสเปรียว ระกระตุ้นให้มีการขับนาลาย ทำให้ชุ่มคอ จึงช่วยบรรเทาอาการเจ็บคอ,,,,
ต้น,,,,,,,,ส้มเขียวหวาน,Citrus reticulata Blanco,Rutacea,ไม้ยืนต้นขนาดย่อม,น้ำ-เนื้อในผล,,,,,●,,,,●,,●,,,,,บำรุงร่างกาย ทำให้เกิดกำดัง แก้ไอ ขบเสมหะ,,,,,
ต้น,,,,เหา,●,,,น้อยหน่า,Annona squamosa L.,ANNONACEAE,ไม้อืนด้นขนาดเล็กสูงประมาณ 8 เมตร แตกกิ่งกานสาขาเป็นกานเล็กๆ ผวเกลยง สีเทาอมนาตาล ใบเดี่ยวรูปรึเรียงสลบ,ใบ,,,,,,,,,,,,●,●,,,ฆ่าเชือโรค ขับตัวกิมิชาติในลำไส้ (พยาธิไส้เดือน) พอกแก้ฟกชํ้า ฆ่าพยาธิผิวหนัง กลากเกลื้อน น้อยหน่าตายพราย แก้งูสกัด เริม,,,,,
ต้น,,,,,,,,น้อยหน่า,Annona squamosa L.,ANNONACEAE,ใช้เมล็ดน้อยหน่าหรือใบสด ตำให้ละเอียด ผสมกับน้ำมันมะพร้าว 1-2ช้อนโต๊ะ ขยี้ให้ทั่วศีรษะแล้วใช้ผ้าคลุมโพกไว้ประมาณคร่ึงชั่วโมง สระผมให้สะอาดระวังอย่าให้เข้าตา,เปลือกต้น,,,,●,,,,,,,,,,,,สมานแผล ปิดธาตุ แก้ท้องร่วง,,,,,
