ธาตุ,ภาษาบาลีของธาตุ,ภาษาบาลี,ภาษาไทย,กำเริบ,หย่อน,พิการ
ดิน๔,ปถวีธาตุ,มัตเกมัตถถลุงคัง,สมอง มันสมอง,ผมแตกปลาย/ผมหงอก/หนังศีรษะมันเยิ้ม/คันหนังศีรษะ/เจ็บหนังศีรษะ,เส้นผมมีสีจางลง/คันหนังศีรษะ/หนังศีระษะแห้ง,ผมร่วง/ผมหัก/ขาดง่าย/หนังศีรษะเป็นรังแค/ติดเชื่อรา/เป็นเหา
ดิน๓,ปถวีธาตุ,วักกัง,ม้าม,,,
ดิน๓,ปถวีธาตุ,หทยัง,หัวใจ,,,
ดิน๓,ปถวีธาตุ,ยกนัง,ตับ,,,
ดิน๓,ปถวีธาตุ,กิโลมกัง,พังผืด,,,
ดิน๓,ปถวีธาตุ,ปิหกัง,ไต,,,
ดิน๓,ปถวีธาตุ,ปัปผาสัง,ปอด,,,
ดิน๓,ปถวีธาตุ,อันตัง,ลำไส้ใหญ่,,,
ดิน๓,ปถวีธาตุ,อันตคุณัง,ลำไส้เล็ก,,,
ดิน๒,ปถวีธาตุ,มังสัง,เนื้อ กล้ามเนื้อ,,,
ดิน๒,ปถวีธาตุ,นหารู,เอ็น,,,
ดิน๒,ปถวีธาตุ,อัฎฐิ,กระดูก,,,
ดิน๒,ปถวีธาตุ,อัฏฐิมิญชัง,ไขกระดูก เยื่อในกระดูก,,,
ดิน๑,ปถวีธาตุ,เกศา,ผม,,,
ดิน๑,ปถวีธาตุ,โลมา,ขน,เหงื่อออกมาก/เจ็บทั่วทุกขุมขน/ให้ขนพองขนชันทั่วไป,เหงื่อออกน้อย/ขนล้ม/ผิวหนังแห้ง,ขนร่วง/เจ็บทุกรูขุมขน/รูขุมขนอุดตัน/รูขุมขนอักเสบ
ดิน๑,ปถวีธาตุ,นขา,เล็บ,เล็บคุด,,
ดิน๑,ปถวีธาตุ,ทันตา,ฟัน,,,
ดิน๑,ปถวีธาตุ,ตะโจ,หนัง,,,
ดิน,ปถวีธาตุ,อุทริยัง,อาหารใหม่,,,
ดิน,ปถวีธาตุ,กรีสัง,อาหารเก่า,,,
น้ำ,อาโปธาตุ,ปิตตัง,น้ำดี,,,
น้ำ,อาโปธาตุ,ศอเสมหะ,เสลด,,,
น้ำ,อาโปธาตุ,อุระเสมหะ,เสลด,,,
น้ำ,อาโปธาตุ,คูถเสมหะ,เสลด,ให้ตกอุจจาระเป้นเสมหะเป็นมูกและโลหิต/ปวดท้อง/เป็นริดสีดวง,,
น้ำ,อาโปธาตุ,บุปโพ,น้ำเหลือง น้ำหนอง,ผื่นคัน/เป็นตุ่มเบื่อย/คันตามร่างกาย,ให้กายซูบผอม/กินอาหารไม่รู้รส,มีน้ำหนองไหลออก/เนืองๆ/ฟกบวม
น้ำ,อาโปธาตุ,โลหิตตัง,เลือด,ให้เจ็บตามแขนขา/โลหิตระดูออกมามีกลิ่นเหม็น/ออกตามระดาว,ทำให้โลหิตระดูมาน้อย/ไม่มีระดู/เจ็ยปวดที่อวัยวะ/สืบพันธุ์/เจ็บท้องน้อย/ผิวหนังแห้ง/หยาบสาก/ผิวหนังมักแตก/ผิวพรรณซูบซีดมัวหมอง/โลหิตจางอ่อนเพลีย/เหนื่อยง่าย,ไข้ตัวร้อน/ให้เพ้อคลั่ง/ปัสสาวะแดง/เป็นเม็ดตามผิวหนังเป็นปานดำปานแดง/มีบาดแผลโลหิตไหลออก
